Purch_Keurig_L12m,Purch_Keurig_L6m,Purch_Keurig_L3m,Purch_kcups_L12m,Purch_kcups_L6m,Purch_kcups_L3m,Purch_kcups_lsize_L12m,Purch_kcups_lsize_L6m,Purch_kcups_lsize_L3m,Qty_kcups_L12M,Purch_Keurig_P35_L12M,Purch_Keurig_P35_L6M,Purch_Keurig_P35_L3M,holdout_flag
upc,upc,upc,upc,upc,upc,upc,upc,upc,qtyupc,upc,upc,upc,holdout
upc,upc,upc,upc,upc,upc,upc,upc,upc,upc,upc,upc,upc,smple_flg
12,6,3,12,6,3,12,6,3,12,12,6,3,12
2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31
,,,9955508405,9955508405,9955508405,76211115331,76211115331,76211115331,9955508405,,,,
,,,9955508406,9955508406,9955508406,76211115332,76211115332,76211115332,9955508406,,,,
,,,9955508407,9955508407,9955508407,76211115333,76211115333,76211115333,9955508407,,,,
,,,9955508408,9955508408,9955508408,76211188808,76211188808,76211188808,9955508408,,,,
,,,9955508419,9955508419,9955508419,76211188822,76211188822,76211188822,9955508419,,,,
,,,9955508425,9955508425,9955508425,76211188824,76211188824,76211188824,9955508425,,,,
,,,9955508451,9955508451,9955508451,76211189532,76211189532,76211189532,9955508451,,,,
,,,9955508556,9955508556,9955508556,76211193024,76211193024,76211193024,9955508556,,,,
,,,9955508558,9955508558,9955508558,76211194957,76211194957,76211194957,9955508558,,,,
,,,9955508611,9955508611,9955508611,78535701252,78535701252,78535701252,9955508611,,,,
,,,9955508612,9955508612,9955508612,78535701253,78535701253,78535701253,9955508612,,,,
,,,9955508613,9955508613,9955508613,78535701254,78535701254,78535701254,9955508613,,,,
,,,9955508614,9955508614,9955508614,78535701255,78535701255,78535701255,9955508614,,,,
,,,9955508624,9955508624,9955508624,78535701256,78535701256,78535701256,9955508624,,,,
,,,9955508640,9955508640,9955508640,78535701258,78535701258,78535701258,9955508640,,,,
,,,9955508641,9955508641,9955508641,78535701289,78535701289,78535701289,9955508641,,,,
,,,9955508656,9955508656,9955508656,78535701418,78535701418,78535701418,9955508656,,,,
,,,9955508657,9955508657,9955508657,78535701419,78535701419,78535701419,9955508657,,,,
,,,9955508658,9955508658,9955508658,78535701507,78535701507,78535701507,9955508658,,,,
,,,9955508659,9955508659,9955508659,81839001094,81839001094,81839001094,9955508659,,,,
,,,9955508660,9955508660,9955508660,83425900526,83425900526,83425900526,9955508660,,,,
,,,9955508661,9955508661,9955508661,83425900527,83425900527,83425900527,9955508661,,,,
,,,9955508664,9955508664,9955508664,83425900732,83425900732,83425900732,9955508664,,,,
,,,9955508965,9955508965,9955508965,,,,9955508965,,,,
,,,9955508976,9955508976,9955508976,,,,9955508976,,,,
,,,9955509610,9955509610,9955509610,,,,9955509610,,,,
,,,9955509612,9955509612,9955509612,,,,9955509612,,,,
,,,9955509613,9955509613,9955509613,,,,9955509613,,,,
,,,9955509615,9955509615,9955509615,,,,9955509615,,,,
,,,9955515035,9955515035,9955515035,,,,9955515035,,,,
,,,9955515036,9955515036,9955515036,,,,9955515036,,,,
,,,9955515101,9955515101,9955515101,,,,9955515101,,,,
,,,9955515173,9955515173,9955515173,,,,9955515173,,,,
,,,9955515174,9955515174,9955515174,,,,9955515174,,,,
,,,9955515234,9955515234,9955515234,,,,9955515234,,,,
,,,9955515492,9955515492,9955515492,,,,9955515492,,,,
,,,9955515494,9955515494,9955515494,,,,9955515494,,,,
,,,9955515801,9955515801,9955515801,,,,9955515801,,,,
,,,9955515854,9955515854,9955515854,,,,9955515854,,,,
,,,9955515855,9955515855,9955515855,,,,9955515855,,,,
,,,9955516553,9955516553,9955516553,,,,9955516553,,,,
,,,9955516554,9955516554,9955516554,,,,9955516554,,,,
,,,40552407380,40552407380,40552407380,,,,40552407380,,,,
,,,61124735024,61124735024,61124735024,,,,61124735024,,,,
,,,61124735070,61124735070,61124735070,,,,61124735070,,,,
,,,61124735072,61124735072,61124735072,,,,61124735072,,,,
,,,61124735089,61124735089,61124735089,,,,61124735089,,,,
,,,61124735090,61124735090,61124735090,,,,61124735090,,,,
,,,61124735091,61124735091,61124735091,,,,61124735091,,,,
,,,61124735172,61124735172,61124735172,,,,61124735172,,,,
,,,61124735173,61124735173,61124735173,,,,61124735173,,,,
,,,61124735175,61124735175,61124735175,,,,61124735175,,,,
,,,61124735243,61124735243,61124735243,,,,61124735243,,,,
,,,61124735244,61124735244,61124735244,,,,61124735244,,,,
,,,61124735251,61124735251,61124735251,,,,61124735251,,,,
,,,61124735253,61124735253,61124735253,,,,61124735253,,,,
,,,61124735395,61124735395,61124735395,,,,61124735395,,,,
,,,61124735396,61124735396,61124735396,,,,61124735396,,,,
,,,61124735397,61124735397,61124735397,,,,61124735397,,,,
,,,61124735484,61124735484,61124735484,,,,61124735484,,,,
,,,61124735485,61124735485,61124735485,,,,61124735485,,,,
,,,61124735813,61124735813,61124735813,,,,61124735813,,,,
,,,61124736079,61124736079,61124736079,,,,61124736079,,,,
,,,61124736130,61124736130,61124736130,,,,61124736130,,,,
,,,64964515725,64964515725,64964515725,,,,64964515725,,,,
,,,64964515727,64964515727,64964515727,,,,64964515727,,,,
,,,64964560224,64964560224,64964560224,,,,64964560224,,,,
,,,68590355778,68590355778,68590355778,,,,68590355778,,,,
,,,68590389778,68590389778,68590389778,,,,68590389778,,,,
,,,76211100098,76211100098,76211100098,,,,76211100098,,,,
,,,76211100100,76211100100,76211100100,,,,76211100100,,,,
,,,76211100137,76211100137,76211100137,,,,76211100137,,,,
,,,76211106548,76211106548,76211106548,,,,76211106548,,,,
,,,76211106549,76211106549,76211106549,,,,76211106549,,,,
,,,76211106552,76211106552,76211106552,,,,76211106552,,,,
,,,76211108031,76211108031,76211108031,,,,76211108031,,,,
,,,76211109328,76211109328,76211109328,,,,76211109328,,,,
,,,76211110677,76211110677,76211110677,,,,76211110677,,,,
,,,76211115331,76211115331,76211115331,,,,76211115331,,,,
,,,76211115332,76211115332,76211115332,,,,76211115332,,,,
